,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Wind Onshore
2022-01-09 07:00:00+01:00,305.86,1.056,0.011
2022-01-09 08:00:00+01:00,311.6,2.568,0.011
2022-01-09 09:00:00+01:00,315.70000000000005,4.728,0.0
2022-01-09 10:00:00+01:00,313.24,6.12,0.0
2022-01-09 11:00:00+01:00,312.42,6.96,0.0
2022-01-09 12:00:00+01:00,307.5,7.296,0.0
2022-01-09 13:00:00+01:00,305.04,7.488,0.0
2022-01-09 14:00:00+01:00,305.86,7.464,0.0
2022-01-09 15:00:00+01:00,310.78000000000003,7.44,0.011
2022-01-09 16:00:00+01:00,304.22,8.4,0.066
2022-01-09 17:00:00+01:00,308.32000000000005,8.496,0.05499999999999999
2022-01-09 18:00:00+01:00,307.5,7.896,0.044
2022-01-09 19:00:00+01:00,309.14000000000004,7.92,0.022
2022-01-09 20:00:00+01:00,310.78000000000003,7.08,0.022
2022-01-09 21:00:00+01:00,309.14000000000004,6.672,0.044
2022-01-09 22:00:00+01:00,305.86,6.984,0.044
2022-01-09 23:00:00+01:00,309.14000000000004,5.928,0.033
2022-01-10 00:00:00+01:00,306.68,4.632,0.132
2022-01-10 01:00:00+01:00,308.32000000000005,2.04,0.16499999999999998
2022-01-10 02:00:00+01:00,311.6,1.6320000000000001,0.10999999999999999
2022-01-10 03:00:00+01:00,306.68,1.6320000000000001,0.066
2022-01-10 04:00:00+01:00,307.5,1.6320000000000001,0.077
2022-01-10 05:00:00+01:00,367.36,1.6320000000000001,0.077
2022-01-10 06:00:00+01:00,467.40000000000003,1.608,0.077
2022-01-10 07:00:00+01:00,463.3,1.6560000000000001,0.143
2022-01-10 08:00:00+01:00,455.92,2.928,0.154
2022-01-10 09:00:00+01:00,459.20000000000005,4.5120000000000005,0.121
2022-01-10 10:00:00+01:00,464.12000000000006,5.5680000000000005,0.066
2022-01-10 11:00:00+01:00,475.6,5.712,0.011
2022-01-10 12:00:00+01:00,498.56000000000006,5.736,0.033
2022-01-10 13:00:00+01:00,505.12000000000006,5.736,0.05499999999999999
2022-01-10 14:00:00+01:00,501.84000000000003,5.832,0.16499999999999998
2022-01-10 15:00:00+01:00,518.24,6.048,0.34099999999999997
2022-01-10 16:00:00+01:00,516.6,6.744,0.374
2022-01-10 17:00:00+01:00,480.52000000000004,6.984,0.39599999999999996
2022-01-10 18:00:00+01:00,463.3,6.888,0.39599999999999996
2022-01-10 19:00:00+01:00,453.46000000000004,7.032,0.39599999999999996
2022-01-10 20:00:00+01:00,459.20000000000005,6.336,0.39599999999999996
2022-01-10 21:00:00+01:00,337.02000000000004,5.6160000000000005,0.39599999999999996
2022-01-10 22:00:00+01:00,296.84000000000003,7.992,0.39599999999999996
2022-01-10 23:00:00+01:00,296.84000000000003,8.28,0.374
2022-01-12 00:00:00+01:00,353.42,6.384,0.374
2022-01-12 01:00:00+01:00,396.06,3.3120000000000003,0.374
2022-01-12 02:00:00+01:00,406.72,1.008,0.374
2022-01-12 03:00:00+01:00,400.98,0.432,0.374
2022-01-12 04:00:00+01:00,388.68,0.0,0.374
2022-01-12 05:00:00+01:00,441.16,0.264,0.374
2022-01-12 06:00:00+01:00,513.32,1.416,0.374
2022-01-12 07:00:00+01:00,513.32,1.368,0.374
2022-01-12 08:00:00+01:00,514.14,1.92,0.374
2022-01-12 09:00:00+01:00,517.4200000000001,3.0,0.374
2022-01-12 10:00:00+01:00,514.14,4.032,0.374
2022-01-12 11:00:00+01:00,523.98,4.224,0.374
2022-01-12 12:00:00+01:00,533.82,4.224,0.374
2022-01-12 13:00:00+01:00,537.9200000000001,3.96,0.374
2022-01-12 14:00:00+01:00,555.14,6.096,0.374
2022-01-12 15:00:00+01:00,546.94,6.336,0.374
2022-01-12 16:00:00+01:00,552.6800000000001,5.952,0.374
2022-01-12 17:00:00+01:00,543.6600000000001,6.96,0.374
2022-01-12 18:00:00+01:00,536.2800000000001,6.744,0.374
2022-01-12 19:00:00+01:00,541.2,6.336,0.374
2022-01-12 20:00:00+01:00,546.12,5.784,0.374
2022-01-12 21:00:00+01:00,405.08000000000004,5.328,0.374
2022-01-12 22:00:00+01:00,355.06,7.776,0.374
2022-01-12 23:00:00+01:00,356.70000000000005,8.040000000000001,0.374
2022-01-13 00:00:00+01:00,365.72,6.048,0.374
2022-01-13 01:00:00+01:00,365.72,3.7680000000000002,0.374
2022-01-13 02:00:00+01:00,351.78000000000003,1.536,0.374
2022-01-13 03:00:00+01:00,348.5,0.504,0.374
2022-01-13 04:00:00+01:00,350.14000000000004,0.504,0.363
2022-01-13 05:00:00+01:00,348.5,0.504,0.374
2022-01-13 06:00:00+01:00,429.68,1.8960000000000001,0.374
2022-01-13 07:00:00+01:00,510.04,1.92,0.374
2022-01-13 08:00:00+01:00,516.6,2.2800000000000002,0.374
2022-01-13 09:00:00+01:00,525.62,3.36,0.374
2022-01-13 10:00:00+01:00,535.46,4.032,0.374
2022-01-13 11:00:00+01:00,537.1,4.416,0.374
2022-01-13 12:00:00+01:00,542.0200000000001,4.968,0.374
2022-01-13 13:00:00+01:00,542.0200000000001,5.328,0.374
2022-01-13 14:00:00+01:00,538.74,6.6000000000000005,0.374
2022-01-13 15:00:00+01:00,537.1,6.696,0.374
2022-01-13 16:00:00+01:00,531.36,7.44,0.374
2022-01-13 17:00:00+01:00,536.2800000000001,7.5120000000000005,0.374
2022-01-13 18:00:00+01:00,531.36,7.5120000000000005,0.32999999999999996
2022-01-13 19:00:00+01:00,533.0,6.432,0.242
2022-01-13 20:00:00+01:00,487.08000000000004,6.432,0.253
2022-01-13 21:00:00+01:00,351.78000000000003,6.432,0.297
2022-01-13 22:00:00+01:00,350.14000000000004,8.232,0.34099999999999997
2022-01-13 23:00:00+01:00,348.5,8.28,0.363
2022-01-14 00:00:00+01:00,349.32000000000005,6.792,0.374
2022-01-14 01:00:00+01:00,351.78000000000003,4.296,0.363
2022-01-14 02:00:00+01:00,349.32000000000005,2.568,0.363
2022-01-14 03:00:00+01:00,349.32000000000005,1.44,0.363
2022-01-14 04:00:00+01:00,347.68,1.44,0.374
2022-01-14 05:00:00+01:00,350.14000000000004,1.44,0.363
2022-01-14 06:00:00+01:00,432.96000000000004,2.376,0.352
2022-01-14 07:00:00+01:00,517.4200000000001,2.352,0.32999999999999996
2022-01-14 08:00:00+01:00,523.98,2.8080000000000003,0.352
2022-01-14 09:00:00+01:00,534.64,3.912,0.32999999999999996
2022-01-14 10:00:00+01:00,535.46,4.5360000000000005,0.319
2022-01-14 11:00:00+01:00,529.72,5.376,0.286
2022-01-14 12:00:00+01:00,522.34,5.04,0.264
2022-01-14 13:00:00+01:00,514.96,4.872,0.253
2022-01-14 14:00:00+01:00,519.0600000000001,5.712,0.286
2022-01-14 15:00:00+01:00,524.8000000000001,6.096,0.32999999999999996
2022-01-14 16:00:00+01:00,519.0600000000001,6.168,0.32999999999999996
2022-01-14 17:00:00+01:00,523.98,6.912,0.23099999999999998
2022-01-14 18:00:00+01:00,520.7,6.936,0.132
