,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2021-12-05 06:00:00+01:00,,9402.0,,6981.0,1649.0,,3621.0
2021-12-05 07:00:00+01:00,,9881.0,,6978.0,1682.0,,3573.0
2021-12-05 08:00:00+01:00,,10779.0,,6978.0,1791.0,,3474.0
2021-12-05 09:00:00+01:00,,11126.0,,6978.0,1841.0,,3370.0
2021-12-05 10:00:00+01:00,,11420.0,,6979.0,1875.0,,3224.0
2021-12-05 11:00:00+01:00,,11469.0,,6976.0,1875.0,,3001.0
2021-12-05 12:00:00+01:00,,11515.0,,6975.0,1895.0,,2885.0
2021-12-05 13:00:00+01:00,,11693.0,,6976.0,1884.0,,2784.0
2021-12-05 14:00:00+01:00,,11639.0,,6975.0,1868.0,,2743.0
2021-12-05 15:00:00+01:00,,11798.0,,6976.0,1886.0,,2710.0
2021-12-05 16:00:00+01:00,,11925.0,,6975.0,1964.0,,2763.0
2021-12-05 17:00:00+01:00,,11872.0,,6977.0,1961.0,,2775.0
2021-12-05 18:00:00+01:00,,11835.0,,6977.0,1965.0,,2718.0
2021-12-05 19:00:00+01:00,,11812.0,,6980.0,1928.0,,2653.0
2021-12-05 20:00:00+01:00,,11755.0,,6979.0,1933.0,,2544.0
2021-12-05 21:00:00+01:00,,11650.0,,6981.0,1918.0,,2410.0
2021-12-05 22:00:00+01:00,,11367.0,,6982.0,1902.0,,2320.0
2021-12-05 23:00:00+01:00,,11172.0,,6983.0,1869.0,,2142.0
2021-12-06 00:00:00+01:00,,10993.0,,6981.0,1864.0,,2034.0
2021-12-06 01:00:00+01:00,,10980.0,,6984.0,1776.0,,1929.0
2021-12-06 02:00:00+01:00,,10995.0,,6984.0,1758.0,,1815.0
2021-12-06 03:00:00+01:00,,11022.0,,6986.0,1742.0,,1783.0
2021-12-06 04:00:00+01:00,,11101.0,,6985.0,1733.0,,1730.0
2021-12-06 05:00:00+01:00,,11236.0,,6982.0,1811.0,,1682.0
2021-12-06 06:00:00+01:00,,11715.0,,6983.0,1893.0,,1567.0
2021-12-06 07:00:00+01:00,,12395.0,,6985.0,1932.0,,1467.0
2021-12-06 08:00:00+01:00,,12495.0,,6982.0,2038.0,,1405.0
2021-12-06 09:00:00+01:00,,12364.0,,6987.0,2069.0,,1368.0
2021-12-06 10:00:00+01:00,,12302.0,,6985.0,2076.0,,1277.0
2021-12-06 11:00:00+01:00,,12352.0,,6987.0,2095.0,,1167.0
2021-12-06 12:00:00+01:00,,12408.0,,6989.0,2107.0,,1103.0
2021-12-06 13:00:00+01:00,,12224.0,,6989.0,2098.0,,1051.0
2021-12-06 14:00:00+01:00,,12322.0,,6986.0,2063.0,,1130.0
2021-12-06 15:00:00+01:00,,12281.0,,6989.0,2072.0,,1295.0
2021-12-06 16:00:00+01:00,,12211.0,,6989.0,2006.0,,1410.0
2021-12-06 17:00:00+01:00,,12051.0,,6987.0,2005.0,,1493.0
2021-12-06 18:00:00+01:00,,11986.0,,6987.0,2015.0,,1535.0
2021-12-06 19:00:00+01:00,,11704.0,,6990.0,2013.0,,1541.0
2021-12-06 20:00:00+01:00,,11512.0,,6991.0,1907.0,,1475.0
2021-12-06 21:00:00+01:00,,11564.0,,6989.0,1879.0,,1471.0
2021-12-06 22:00:00+01:00,,11409.0,,6990.0,1808.0,,1516.0
2021-12-06 23:00:00+01:00,,11269.0,,6990.0,1796.0,,1516.0
2021-12-07 00:00:00+01:00,,10002.0,,6989.0,1814.0,,1495.0
2021-12-07 01:00:00+01:00,,9764.0,,6986.0,1795.0,,1544.0
2021-12-07 02:00:00+01:00,,9738.0,,6985.0,1754.0,,1520.0
2021-12-07 03:00:00+01:00,,9826.0,,6984.0,1756.0,,1577.0
2021-12-07 04:00:00+01:00,,10007.0,,6988.0,1770.0,,1639.0
2021-12-07 05:00:00+01:00,,10866.0,,6987.0,1824.0,,1628.0
2021-12-07 06:00:00+01:00,,11733.0,,6987.0,1952.0,,1623.0
2021-12-07 07:00:00+01:00,,12266.0,,6984.0,1989.0,,1628.0
2021-12-07 08:00:00+01:00,,12271.0,,6984.0,2013.0,,1705.0
2021-12-07 09:00:00+01:00,,12289.0,,6985.0,2054.0,,1773.0
2021-12-07 10:00:00+01:00,,12144.0,,6985.0,2065.0,,1736.0
2021-12-07 11:00:00+01:00,,12314.0,,6987.0,2083.0,,1697.0
2021-12-07 12:00:00+01:00,,12225.0,,6987.0,2045.0,,1674.0
2021-12-07 13:00:00+01:00,,12136.0,,6984.0,2036.0,,1763.0
2021-12-07 14:00:00+01:00,,12125.0,,6986.0,2038.0,,1899.0
2021-12-07 15:00:00+01:00,,12053.0,,6988.0,2021.0,,2024.0
2021-12-07 16:00:00+01:00,,12060.0,,6986.0,2034.0,,2223.0
2021-12-07 17:00:00+01:00,,11897.0,,6988.0,2041.0,,2522.0
2021-12-07 18:00:00+01:00,,11725.0,,6989.0,2031.0,,2671.0
2021-12-07 19:00:00+01:00,,11490.0,,6986.0,2039.0,,2716.0
2021-12-07 20:00:00+01:00,,11389.0,,6986.0,1993.0,,2838.0
2021-12-07 21:00:00+01:00,,11046.0,,6988.0,1974.0,,2941.0
2021-12-07 22:00:00+01:00,,10890.0,,6989.0,1840.0,,3006.0
2021-12-07 23:00:00+01:00,,10755.0,,6990.0,1717.0,,2988.0
2021-12-08 00:00:00+01:00,,9605.0,,6989.0,1665.0,,3124.0
2021-12-08 01:00:00+01:00,,9344.0,,6990.0,1624.0,,3220.0
2021-12-08 02:00:00+01:00,,9306.0,,6990.0,1549.0,,3314.0
2021-12-08 03:00:00+01:00,,9084.0,,6989.0,1545.0,,3402.0
2021-12-08 04:00:00+01:00,,9340.0,,6991.0,1584.0,,3507.0
2021-12-08 05:00:00+01:00,,10057.0,,6992.0,1652.0,,3603.0
2021-12-08 06:00:00+01:00,,10443.0,,6992.0,1793.0,,3664.0
2021-12-08 07:00:00+01:00,,11368.0,,6990.0,1848.0,,3684.0
2021-12-08 08:00:00+01:00,,11617.0,,6992.0,1954.0,,3707.0
2021-12-08 09:00:00+01:00,,11495.0,,6993.0,1990.0,,3761.0
2021-12-08 10:00:00+01:00,,11481.0,,6992.0,1980.0,,3756.0
2021-12-08 11:00:00+01:00,,11508.0,,6993.0,1986.0,,3768.0
2021-12-08 12:00:00+01:00,,11491.0,,6991.0,1989.0,,3826.0
2021-12-08 13:00:00+01:00,,11496.0,,6990.0,1995.0,,3815.0
2021-12-08 14:00:00+01:00,,11496.0,,6996.0,1996.0,,3793.0
2021-12-08 15:00:00+01:00,,11496.0,,6999.0,2000.0,,3850.0
2021-12-08 16:00:00+01:00,,11482.0,,7000.0,1999.0,,3890.0
2021-12-08 17:00:00+01:00,,11403.0,,6996.0,2007.0,,3994.0
2021-12-08 18:00:00+01:00,,11218.0,,6996.0,1999.0,,4065.0
2021-12-08 19:00:00+01:00,,11183.0,,6998.0,1999.0,,4102.0
2021-12-08 20:00:00+01:00,,11117.0,,6996.0,1918.0,,4020.0
2021-12-08 21:00:00+01:00,,10942.0,,6997.0,1852.0,,3985.0
2021-12-08 22:00:00+01:00,,10622.0,,6998.0,1751.0,,3959.0
2021-12-08 23:00:00+01:00,,10485.0,,7001.0,1719.0,,3993.0
2021-12-09 00:00:00+01:00,,10227.0,,7000.0,1673.0,,3979.0
2021-12-09 01:00:00+01:00,,10020.0,,7001.0,1662.0,,3970.0
2021-12-09 02:00:00+01:00,,9956.0,,7002.0,1640.0,,4070.0
2021-12-09 03:00:00+01:00,,9900.0,,7000.0,1662.0,,4150.0
2021-12-09 04:00:00+01:00,,9875.0,,7000.0,1654.0,,4298.0
2021-12-09 05:00:00+01:00,,9911.0,,7001.0,1689.0,,4319.0
2021-12-09 06:00:00+01:00,,10461.0,,7000.0,1767.0,,4365.0
2021-12-09 07:00:00+01:00,,10871.0,,6998.0,1822.0,,4409.0
2021-12-09 08:00:00+01:00,,10984.0,,6999.0,1868.0,,4539.0
2021-12-09 09:00:00+01:00,,10968.0,,7001.0,1953.0,,4576.0
2021-12-09 10:00:00+01:00,,10863.0,,7000.0,2010.0,,4635.0
2021-12-09 11:00:00+01:00,,10848.0,,7000.0,2004.0,,4435.0
2021-12-09 12:00:00+01:00,,10874.0,,7000.0,1996.0,,4327.0
2021-12-09 13:00:00+01:00,,10867.0,,6999.0,2004.0,,4406.0
2021-12-09 14:00:00+01:00,,10998.0,,6999.0,1999.0,,4395.0
2021-12-09 15:00:00+01:00,,11009.0,,6999.0,2011.0,,4368.0
2021-12-09 16:00:00+01:00,,10947.0,,7000.0,2013.0,,4347.0
2021-12-09 17:00:00+01:00,,10758.0,,7001.0,2021.0,,4455.0
2021-12-09 18:00:00+01:00,,10540.0,,6997.0,1966.0,,4526.0
2021-12-09 19:00:00+01:00,,10315.0,,6999.0,1964.0,,4520.0
2021-12-09 20:00:00+01:00,,10069.0,,7000.0,1961.0,,4433.0
2021-12-09 21:00:00+01:00,,9805.0,,7002.0,1937.0,,4497.0
2021-12-09 22:00:00+01:00,,9708.0,,7003.0,1846.0,,4433.0
2021-12-09 23:00:00+01:00,,9535.0,,7005.0,1691.0,,4142.0
2021-12-10 00:00:00+01:00,,8904.0,,7005.0,1631.0,,3959.0
2021-12-10 01:00:00+01:00,,8799.0,,7006.0,1619.0,,3604.0
2021-12-10 02:00:00+01:00,,8884.0,,7004.0,1620.0,,3188.0
2021-12-10 03:00:00+01:00,,9045.0,,7005.0,1623.0,,3003.0
2021-12-10 04:00:00+01:00,,9298.0,,7006.0,1623.0,,2750.0
2021-12-10 05:00:00+01:00,,9600.0,,7005.0,1653.0,,2674.0
2021-12-10 06:00:00+01:00,,10182.0,,7003.0,1733.0,,2655.0
2021-12-10 07:00:00+01:00,,10666.0,,7002.0,1809.0,,2484.0
2021-12-10 08:00:00+01:00,,11082.0,,7002.0,1846.0,,2393.0
2021-12-10 09:00:00+01:00,,11117.0,,7001.0,1968.0,,2290.0
2021-12-10 10:00:00+01:00,,11248.0,,6983.0,1909.0,,2261.0
2021-12-10 11:00:00+01:00,,11288.0,,6980.0,1969.0,,2180.0
2021-12-10 12:00:00+01:00,,11557.0,,6983.0,1973.0,,2095.0
2021-12-10 13:00:00+01:00,,11600.0,,7001.0,1965.0,,2024.0
2021-12-10 14:00:00+01:00,,11687.0,,7002.0,1966.0,,1988.0
2021-12-10 15:00:00+01:00,,11940.0,,7000.0,1997.0,,1965.0
2021-12-10 16:00:00+01:00,,11929.0,,7000.0,2042.0,,1891.0
2021-12-10 17:00:00+01:00,,11946.0,,7002.0,2043.0,,1892.0
2021-12-10 18:00:00+01:00,,11921.0,,7000.0,2076.0,,1921.0
2021-12-10 19:00:00+01:00,,11834.0,,7000.0,2078.0,,1861.0
2021-12-10 20:00:00+01:00,,11796.0,,7001.0,2042.0,,1812.0
2021-12-10 21:00:00+01:00,,11639.0,,7001.0,1946.0,,1710.0
2021-12-10 22:00:00+01:00,,11312.0,,6999.0,1900.0,,1545.0
2021-12-10 23:00:00+01:00,,11253.0,,7000.0,1777.0,,1415.0
2021-12-11 00:00:00+01:00,,10684.0,,7001.0,1732.0,,1262.0
2021-12-11 01:00:00+01:00,,10469.0,,7001.0,1721.0,,1183.0
2021-12-11 02:00:00+01:00,,10317.0,,7002.0,1717.0,,1015.0
2021-12-11 03:00:00+01:00,,10345.0,,7001.0,1718.0,,953.0
2021-12-11 04:00:00+01:00,,10468.0,,7000.0,1741.0,,855.0
2021-12-11 05:00:00+01:00,,10584.0,,6998.0,1822.0,,816.0
2021-12-11 06:00:00+01:00,,11073.0,,6998.0,1792.0,,793.0
2021-12-11 07:00:00+01:00,,11431.0,,6995.0,1790.0,,781.0
2021-12-11 08:00:00+01:00,,11700.0,,6731.0,1824.0,,725.0
2021-12-11 09:00:00+01:00,,11812.0,,6679.0,1863.0,,655.0
2021-12-11 10:00:00+01:00,,12023.0,,6678.0,1938.0,,620.0
2021-12-11 11:00:00+01:00,,12092.0,,6678.0,1931.0,,583.0
2021-12-11 12:00:00+01:00,,12094.0,,6677.0,1963.0,,552.0
2021-12-11 13:00:00+01:00,,12188.0,,6687.0,1963.0,,535.0
2021-12-11 14:00:00+01:00,,12243.0,,6826.0,1924.0,,501.0
2021-12-11 15:00:00+01:00,,12268.0,,6946.0,1928.0,,480.0
2021-12-11 16:00:00+01:00,,12297.0,,6988.0,1935.0,,451.0
2021-12-11 17:00:00+01:00,,12261.0,,6993.0,1945.0,,436.0
2021-12-11 18:00:00+01:00,,12311.0,,6995.0,1963.0,,427.0
2021-12-11 19:00:00+01:00,,12257.0,,6997.0,1966.0,,394.0
2021-12-11 20:00:00+01:00,,12173.0,,6995.0,1948.0,,394.0
2021-12-11 21:00:00+01:00,,11900.0,,6994.0,1938.0,,396.0
2021-12-11 22:00:00+01:00,,11802.0,,6994.0,1747.0,,404.0
2021-12-11 23:00:00+01:00,,11521.0,,6993.0,1739.0,,421.0
2021-12-12 00:00:00+01:00,,11031.0,,6990.0,1717.0,,458.0
2021-12-12 01:00:00+01:00,,10632.0,,6985.0,1714.0,,512.0
2021-12-12 02:00:00+01:00,,10389.0,,6978.0,1711.0,,564.0
2021-12-12 03:00:00+01:00,,10267.0,,6980.0,1710.0,,663.0
2021-12-12 04:00:00+01:00,,10174.0,,6980.0,1713.0,,739.0
2021-12-12 05:00:00+01:00,,10181.0,,6981.0,1713.0,,863.0
2021-12-12 06:00:00+01:00,,10552.0,,6982.0,1729.0,,1062.0
2021-12-12 07:00:00+01:00,,10769.0,,6981.0,1730.0,,1197.0
2021-12-12 08:00:00+01:00,,10662.0,,6976.0,1739.0,,1369.0
2021-12-12 09:00:00+01:00,,10898.0,,6971.0,1740.0,,1542.0
2021-12-12 10:00:00+01:00,,11080.0,,6972.0,1750.0,,1657.0
2021-12-12 11:00:00+01:00,,11093.0,,6972.0,1736.0,,1795.0
2021-12-12 12:00:00+01:00,,11075.0,,6973.0,1756.0,,1842.0
2021-12-12 13:00:00+01:00,,11168.0,,6972.0,1825.0,,1888.0
2021-12-12 14:00:00+01:00,,11162.0,,6972.0,1822.0,,2029.0
2021-12-12 15:00:00+01:00,,11255.0,,6971.0,1934.0,,2082.0
2021-12-12 16:00:00+01:00,,11292.0,,6968.0,1892.0,,2161.0
2021-12-12 17:00:00+01:00,,11279.0,,6969.0,1900.0,,2276.0
2021-12-12 18:00:00+01:00,,11223.0,,6970.0,1918.0,,2262.0
2021-12-12 19:00:00+01:00,,11280.0,,6968.0,1934.0,,2162.0
2021-12-12 20:00:00+01:00,,11320.0,,6969.0,1930.0,,2015.0
2021-12-12 21:00:00+01:00,,11335.0,,6968.0,1905.0,,1825.0
2021-12-12 22:00:00+01:00,,11228.0,,6970.0,1818.0,,1639.0
2021-12-12 23:00:00+01:00,,11078.0,,6970.0,1744.0,,1541.0
2021-12-13 00:00:00+01:00,,10199.0,,6980.0,1649.0,,1512.0
2021-12-13 01:00:00+01:00,,10214.0,,6985.0,1646.0,,1490.0
